Entity,Canonical Owner,Status,Cluster,Page Class,Parent,Commercial Target
Adult ADHD (broad),/blog/how-to-know-if-you-have-adhd-adult,Complete,Adult ADHD,Pillar,/blog/adhd,/adhd-care
ADHD article hub,/blog/adhd,Complete,Adult ADHD,Cluster hub,—,/adhd-care
ADHD in Women,/blog/adhd-in-women,Complete,Women,Pillar,/blog/adhd,/adhd-care
ADHD in Women (FAQ),/answers/adhd-in-women,Complete,Women,Supporting Answer,/blog/adhd-in-women,/adhd-care
Late ADHD diagnosis,/answers/late-adhd-diagnosis-adults,Complete,Adult ADHD / Women,Supporting Answer,/blog/how-to-know-if-you-have-adhd-adult,/adhd-care
ADHD vs Anxiety,/answers/adhd-vs-anxiety,Complete,Diagnosis,Supporting Answer,/blog/how-to-know-if-you-have-adhd-adult,/adhd-care
ADHD vs Burnout,/answers/adhd-vs-burnout,Complete,Diagnosis,Supporting Answer,/blog/how-to-know-if-you-have-adhd-adult,/adhd-care
Executive Dysfunction ADHD,/blog/executive-dysfunction-adhd,Complete,Executive Dysfunction,Pillar,/blog/adhd,/adhd-care
Executive Dysfunction (FAQ),/answers/executive-dysfunction-adhd,Complete (supporting),Executive Dysfunction,Supporting Answer,/blog/executive-dysfunction-adhd,/adhd-care
Time Blindness,/answers/time-blindness-adhd,Complete (thin),Executive Dysfunction,Supporting Answer,/blog/executive-dysfunction-adhd,/adhd-care
Working Memory ADHD,—,Missing,Executive Dysfunction,Supporting Answer,/blog/executive-dysfunction-adhd,/blog/executive-dysfunction-adhd
Decision Fatigue ADHD,—,Missing,Executive Dysfunction,Supporting Answer,/blog/executive-dysfunction-adhd,/blog/executive-dysfunction-adhd
Task Initiation ADHD,—,Missing,Executive Dysfunction,Supporting Answer,/blog/executive-dysfunction-adhd,/blog/executive-dysfunction-adhd
Organization / systems ADHD,—,Missing,Executive Dysfunction,Supporting Answer,/blog/executive-dysfunction-adhd,/blog/executive-dysfunction-adhd
ADHD Masking (women),—,Missing spoke,Women,Supporting / Spoke,/blog/adhd-in-women,/blog/adhd-in-women
ADHD + Perimenopause,—,Missing,Women,Pillar (planned),/blog/adhd-in-women,/adhd-care
ADHD + Hormones,—,Missing spoke,Women,Supporting Answer,/blog/adhd-in-women,/blog/adhd-in-women
ADHD and Binge Eating,/blog/adhd-and-binge-eating,Complete,Metabolic ∩ ADHD,Pillar (intersection),/blog/adhd,/adhd-care
Food Noise,/answers/what-is-food-noise,Complete,Metabolic,Supporting Answer,/blog/adhd-and-binge-eating,/adhd-care
ADHD Medication Options,/blog/adhd-medication-options-for-adults,Complete,Medication,Pillar,/blog/adhd,/adhd-care
Online ADHD diagnosis legitimacy,/blog/is-online-adhd-diagnosis-legit,Complete,Diagnosis,Pillar,/blog/adhd,/adhd-care
Screening vs Evaluation,/answers/screening-vs-adhd-evaluation,Complete,Diagnosis,Supporting Answer,/blog/is-online-adhd-diagnosis-legit,/adhd-screening
Texas ADHD Treatment,/blog/adhd-treatment-texas,Complete,Local SEO,Local hub,Treatment cluster,/adhd-care
Florida ADHD Treatment,—,Missing hub,Local SEO,Local hub,Treatment cluster,/adhd-care
Pennsylvania ADHD Treatment,—,Missing hub,Local SEO,Local hub,Treatment cluster,/adhd-care
California ADHD Treatment,—,Blocked (C3 cleanup),Local SEO,Local hub,—,/adhd-care
ADHD Care (commercial),/adhd-care,Complete,Commercial,Commercial,—,Conversion
ADHD Screening,/adhd-screening,Complete,Commercial,Commercial,/adhd-care,Evaluation
Iron deficiency ∩ ADHD,/blog/iron-deficiency-brain-fog-adhd,Complete,Medical overlap,Supporting cornerstone,/blog/adhd,/adhd-care
ADHD neuroimaging biotypes,/blog/adhd-brain-imaging-subtypes,Complete,Science / heterogeneity,Supporting cornerstone,/blog/adhd,/adhd-care
POTS ∩ ADHD,/blog/pots-and-adhd,Complete,Medical overlap,Supporting cornerstone,/blog/adhd,/adhd-care
