Image File,Used On,Purpose,Quality,Style Consistency,Alt Text,Replace,Optimize,Notes
assets/images/adhd-california-screening-hero.jpg,adult-adhd-screening-california.html,content,large-uncompressed,review,yes,review,yes,2068KB — compress/convert to webp
assets/images/adhd-care-new.jpg,NONE,content,large-uncompressed,legacy/stock,n/a,yes (when editorial available),yes,UNUSED on any public page; 1504KB — compress/convert to webp
assets/images/adhd-care-v2.jpg,NONE,content,large-uncompressed,legacy/stock,n/a,yes (when editorial available),yes,UNUSED on any public page; 1433KB — compress/convert to webp
assets/images/adhd-care.jpg,adhd-care.html,content,large-uncompressed,review,n/a,review,yes,1618KB — compress/convert to webp
assets/images/adhd-care.svg,NONE,icon,small,icon/diagram,n/a,no,no,UNUSED on any public page
assets/images/adhd-focus-work.png,NONE,content,ok,review,n/a,review,no,UNUSED on any public page
assets/images/adhd-focus.png,adhd-diagnosis-austin.html; adhd-diagnosis-florida.html; adhd-diagnosis-houston.html; adhd-diagnosis-pennsylvania.html; adhd-diagnosis-philadelphia.html (+6 more),content,ok,legacy/stock,n/a,yes (when editorial available),no,
assets/images/adhd-overwhelmed.png,NONE,content,ok,review,n/a,review,no,UNUSED on any public page
assets/images/adhd-treatment-call.png,NONE,content,ok,review,n/a,review,no,UNUSED on any public page
assets/images/blog-hero-doctor-consultation.png,NONE,content,ok,do-not-reuse,n/a,quarantine,no,UNUSED on any public page; flagged do-not-use in photography inventory
assets/images/care-team.png,NONE,content,ok,do-not-reuse,n/a,quarantine,no,UNUSED on any public page; flagged do-not-use in photography inventory
assets/images/concierge-care-new.jpg,NONE,content,large-uncompressed,legacy/stock,n/a,yes (when editorial available),yes,UNUSED on any public page; 1372KB — compress/convert to webp
assets/images/concierge-care-v2.jpg,primary-urgent-care.html,content,large-uncompressed,legacy/stock,n/a,yes (when editorial available),yes,1577KB — compress/convert to webp
assets/images/concierge-care.jpg,NONE,content,large-uncompressed,review,n/a,review,yes,UNUSED on any public page; 1519KB — compress/convert to webp
assets/images/concierge-care.svg,NONE,icon,small,icon/diagram,n/a,no,no,UNUSED on any public page
assets/images/creyos-logo.png,about.html; adhd-care.html; adhd-diagnosis-austin.html; adhd-diagnosis-florida.html; adhd-diagnosis-houston.html (+150 more),content,ok,review,yes,review,no,
assets/images/cta-booking-new.jpg,NONE,content,large-uncompressed,legacy/stock,n/a,yes (when editorial available),yes,UNUSED on any public page; 1488KB — compress/convert to webp
assets/images/cta-booking-v2.jpg,NONE,content,large-uncompressed,legacy/stock,n/a,yes (when editorial available),yes,UNUSED on any public page; 1638KB — compress/convert to webp
assets/images/derek-timbs.png,about.html; mens-health-longevity.html; providers/derek-timbs.html; providers/index.html; telehealth.html (+1 more),content,ok,review,yes,review,no,
assets/images/doctor-office.png,NONE,content,ok,do-not-reuse,n/a,quarantine,no,UNUSED on any public page; flagged do-not-use in photography inventory
assets/images/doctor-profile.png,NONE,content,ok,do-not-reuse,n/a,quarantine,no,UNUSED on any public page; flagged do-not-use in photography inventory
assets/images/doctor-video-consult.png,NONE,content,ok,do-not-reuse,n/a,quarantine,no,UNUSED on any public page; flagged do-not-use in photography inventory
assets/images/dr-natasha-desai.png,about.html; adhd-care.html; adhd-diagnosis-austin.html; adhd-diagnosis-florida.html; adhd-diagnosis-houston.html (+11 more),content,ok,review,yes,review,no,
assets/images/dr-sneh-pandey-founder.png,adhd-care.html; index.html; mens-health-longevity.html; telehealth.html; weight-loss-metabolic-health.html,content,ok,review,yes,review,no,
assets/images/dr-sneh-pandey.png,about.html; adhd-care.html; adhd-diagnosis-austin.html; adhd-diagnosis-florida.html; adhd-diagnosis-houston.html (+15 more),content,ok,review,yes,review,no,
assets/images/dr-swati-pandey.jpg,NONE,content,ok,review,n/a,review,no,UNUSED on any public page
assets/images/dr-swati-pandey.png,about.html; adhd-diagnosis-pennsylvania.html; adhd-diagnosis-philadelphia.html; adhd-treatment-online.html; adult-adhd-diagnosis.html (+5 more),content,ok,review,yes,review,no,
assets/images/dr-vanessa-urbina.png,about.html; adhd-care.html; adhd-diagnosis-florida.html; adhd-treatment-online.html; adult-adhd-diagnosis.html (+8 more),content,ok,review,yes,review,no,
assets/images/editorial-adhd-consult.jpg,adhd-care.html; mens-health-longevity.html; providers/index.html; telehealth.html; weight-loss-metabolic-health.html,hero/editorial,ok,editorial (on-brand),yes,no,no,
assets/images/editorial-adhd-keys.jpg,adhd-care.html; telehealth.html,hero/editorial,ok,editorial (on-brand),yes,no,no,
assets/images/editorial-adhd-overwhelm.jpg,adhd-care.html,hero/editorial,ok,editorial (on-brand),yes,no,no,
assets/images/editorial-adhd-racing.jpg,adhd-care.html,hero/editorial,ok,editorial (on-brand),yes,no,no,
assets/images/editorial-adhd-time.jpg,adhd-care.html; telehealth.html,hero/editorial,ok,editorial (on-brand),yes,no,no,
assets/images/editorial-adhd-unfinished.jpg,adhd-care.html; weight-loss-metabolic-health.html,hero/editorial,ok,editorial (on-brand),yes,no,no,
assets/images/editorial-burnout-afterwork.jpg,index.html; mens-health-longevity.html; telehealth.html; weight-loss-metabolic-health.html,hero/editorial,ok,editorial (on-brand),yes,no,no,
assets/images/editorial-energy-afternoon.jpg,adhd-care.html; index.html; mens-health-longevity.html; telehealth.html; weight-loss-metabolic-health.html,hero/editorial,ok,editorial (on-brand),yes,no,no,
assets/images/editorial-exhausted-morning.jpg,about.html; adhd-care.html; index.html; mens-health-longevity.html; telehealth.html (+1 more),hero/editorial,ok,editorial (on-brand),yes,no,no,
assets/images/editorial-finally-heard.jpg,about.html; adhd-care.html; blog/index.html; index.html; mens-health-longevity.html (+1 more),hero/editorial,ok,editorial (on-brand),yes,no,no,
assets/images/editorial-focus-overwhelm.jpg,adhd-care.html; index.html; mens-health-longevity.html; telehealth.html,hero/editorial,ok,editorial (on-brand),yes,no,no,
assets/images/editorial-hormones-pause.jpg,adhd-care.html; index.html; mens-health-longevity.html; weight-loss-metabolic-health.html; womens-health.html,hero/editorial,ok,editorial (on-brand),yes,no,no,
assets/images/editorial-weight-effort.jpg,index.html; mens-health-longevity.html; weight-loss-metabolic-health.html,hero/editorial,ok,editorial (on-brand),yes,no,no,
assets/images/happy-patient.png,NONE,content,ok,review,n/a,review,no,UNUSED on any public page
assets/images/healthy-lifestyle.png,siya-circle.html,content,ok,legacy/stock,n/a,yes (when editorial available),no,
assets/images/hero-telehealth-main.png,index.html,content,ok,legacy/stock,n/a,yes (when editorial available),no,
assets/images/hero-telehealth-new.jpg,NONE,content,large-uncompressed,legacy/stock,n/a,yes (when editorial available),yes,UNUSED on any public page; 1505KB — compress/convert to webp
assets/images/hero-telehealth-v2.jpg,NONE,content,large-uncompressed,legacy/stock,n/a,yes (when editorial available),yes,UNUSED on any public page; 1503KB — compress/convert to webp
assets/images/hero-telehealth.jpg,NONE,content,large-uncompressed,legacy/stock,n/a,yes (when editorial available),yes,UNUSED on any public page; 1374KB — compress/convert to webp
assets/images/hero-telehealth.png,NONE,content,ok,legacy/stock,n/a,yes (when editorial available),no,UNUSED on any public page
assets/images/hero-telehealth.svg,NONE,icon,small,icon/diagram,n/a,no,no,UNUSED on any public page
assets/images/hipaa-compliant.png,about.html; adhd-care.html; adhd-diagnosis-austin.html; adhd-diagnosis-florida.html; adhd-diagnosis-houston.html (+150 more),content,ok,review,yes,review,no,
assets/images/icons/icon1.svg,adhd-care.html; index.html; mens-health-longevity.html; telehealth.html; weight-loss-metabolic-health.html,icon,small,icon/diagram,yes,no,no,
assets/images/icons/icon10.svg,NONE,icon,small,icon/diagram,n/a,no,no,UNUSED on any public page
assets/images/icons/icon11.svg,weight-loss-metabolic-health.html,icon,small,icon/diagram,yes,no,no,
assets/images/icons/icon12.svg,adhd-care.html; index.html; mens-health-longevity.html; telehealth.html; weight-loss-metabolic-health.html,icon,small,icon/diagram,yes,no,no,
assets/images/icons/icon2.svg,telehealth.html; weight-loss-metabolic-health.html,icon,small,icon/diagram,yes,no,no,
assets/images/icons/icon3.svg,telehealth.html,icon,small,icon/diagram,yes,no,no,
assets/images/icons/icon4.svg,telehealth.html,icon,small,icon/diagram,yes,no,no,
assets/images/icons/icon5.svg,adhd-care.html; index.html; mens-health-longevity.html; telehealth.html; weight-loss-metabolic-health.html,icon,small,icon/diagram,yes,no,no,
assets/images/icons/icon6.svg,telehealth.html,icon,small,icon/diagram,yes,no,no,
assets/images/icons/icon7.svg,telehealth.html; weight-loss-metabolic-health.html,icon,small,icon/diagram,yes,no,no,
assets/images/icons/icon8.svg,telehealth.html,icon,small,icon/diagram,yes,no,no,
assets/images/icons/icon9.svg,NONE,icon,small,icon/diagram,n/a,no,no,UNUSED on any public page
assets/images/legitscript-certified.png,NONE,content,ok,review,n/a,review,no,UNUSED on any public page
assets/images/megan-wunderlich.png,about.html; adhd-diagnosis-pennsylvania.html; adhd-diagnosis-philadelphia.html; adhd-treatment-online.html; adult-adhd-diagnosis.html (+4 more),content,large-uncompressed,review,yes,review,yes,832KB — compress/convert to webp
assets/images/patient-happy.png,NONE,content,ok,review,n/a,review,no,UNUSED on any public page
assets/images/patient-laptop-smile.png,NONE,content,ok,review,n/a,review,no,UNUSED on any public page
assets/images/patient-telehealth.png,NONE,content,ok,do-not-reuse,n/a,quarantine,no,UNUSED on any public page; flagged do-not-use in photography inventory
assets/images/patient-testimonial.jpg,NONE,content,large-uncompressed,review,n/a,review,yes,UNUSED on any public page; 1555KB — compress/convert to webp
assets/images/patient-testimonial.svg,NONE,icon,small,icon/diagram,n/a,no,no,UNUSED on any public page
assets/images/services-overview.png,NONE,content,ok,review,n/a,review,no,UNUSED on any public page
assets/images/siya-health-logo-pre-registered.png,about.html; adhd-care.html; adhd-diagnosis-austin.html; adhd-diagnosis-florida.html; adhd-diagnosis-houston.html (+151 more),content,ok,review,yes,review,no,
