Provider,Field,Priority,Owner,Status,DueDate,Notes,SourceURL,VerifiedBy,VerifiedDate
"Dr. Sneh Pandey, MD",license type per state,Required before publishing,Provider/Admin,Missing,,CA TX PA FL — one row per state when verified,,,
"Dr. Sneh Pandey, MD",license verification source,Required before publishing,Provider/Admin,Missing,,Public state medical board profile URL per state,,,
"Dr. Sneh Pandey, MD",accepting patients per state,Required before publishing,Provider/Admin,Missing,,Yes/No per licensed state,,,
"Dr. Sneh Pandey, MD",medical school,Required before publishing,Provider/Admin,Missing,,,,,
"Dr. Sneh Pandey, MD",residency,Required before publishing,Provider/Admin,Missing,,Specialty + institution,,,
"Dr. Sneh Pandey, MD",board certifications,Required before physician-reviewed content linkage,Provider/Admin,Needs verification,,On profile: Internal Medicine; Obesity Medicine; ADHD-CCSP,https://siya.health/providers/dr-sneh-pandey,,
"Dr. Sneh Pandey, MD",credential status,Required before physician-reviewed content linkage,Provider/Admin,Needs verification,,Current: practice records only; per-state docs pending,,,
"Dr. Sneh Pandey, MD",fellowship,Nice to have,Provider,Missing,,,,,
"Dr. Sneh Pandey, MD",professional memberships,Nice to have,Provider,Missing,,,,,
"Dr. Sneh Pandey, MD",languages spoken,Nice to have,Provider,Missing,,,,,
"Dr. Sneh Pandey, MD",reviewedContent,Required before physician-reviewed content linkage,Provider,Missing,,URL + title per reviewed piece,,,
"Dr. Sneh Pandey, MD",authoredContent,Nice to have,Provider,Missing,,Only if physician authored,,,
"Dr. Sneh Pandey, MD",NPI,Nice to have,Provider,Missing,,,,,
"Dr. Sneh Pandey, MD",external profiles (sameAs),Nice to have,Provider,Missing,,LinkedIn Doximity Healthgrades etc,,,
"Dr. Sneh Pandey, MD",Claim: 5,000+ patients in structured weight-loss programs,Claims requiring proof,Admin,Needs verification,,In longBio — do not substantiate without source,https://siya.health/providers/dr-sneh-pandey,,
"Dr. Sneh Pandey, MD",Claim: verified testimonial attributions,Claims requiring proof,Admin,Needs verification,,2 profile quotes marked (verified),https://siya.health/providers/dr-sneh-pandey,,
"Dr. Natasha Desai, MD",license type per state,Required before publishing,Provider/Admin,Missing,,TX FL — one row per state when verified,,,
"Dr. Natasha Desai, MD",license verification source,Required before publishing,Provider/Admin,Missing,,Public state medical board profile URL per state,,,
"Dr. Natasha Desai, MD",accepting patients per state,Required before publishing,Provider/Admin,Missing,,Yes/No per licensed state,,,
"Dr. Natasha Desai, MD",medical school,Required before publishing,Provider/Admin,Missing,,,,,
"Dr. Natasha Desai, MD",residency,Required before publishing,Provider/Admin,Missing,,Specialty + institution,,,
"Dr. Natasha Desai, MD",board certifications,Required before physician-reviewed content linkage,Provider/Admin,Needs verification,,On profile: Family & Behavioral Medicine; ADHD-CCSP,https://siya.health/providers/dr-natasha-desai,,
"Dr. Natasha Desai, MD",credential status,Required before physician-reviewed content linkage,Provider/Admin,Needs verification,,Current: practice records only; per-state docs pending,,,
"Dr. Natasha Desai, MD",fellowship,Nice to have,Provider,Missing,,,,,
"Dr. Natasha Desai, MD",professional memberships,Nice to have,Provider,Missing,,,,,
"Dr. Natasha Desai, MD",languages spoken,Nice to have,Provider,Missing,,,,,
"Dr. Natasha Desai, MD",reviewedContent,Required before physician-reviewed content linkage,Provider,Missing,,URL + title per reviewed piece,,,
"Dr. Natasha Desai, MD",authoredContent,Nice to have,Provider,Missing,,Only if physician authored,,,
"Dr. Natasha Desai, MD",NPI,Nice to have,Provider,Missing,,,,,
"Dr. Natasha Desai, MD",external profiles (sameAs),Nice to have,Provider,Missing,,LinkedIn Doximity Healthgrades etc,,,
"Dr. Natasha Desai, MD",Claim: verified testimonial attributions,Claims requiring proof,Admin,Needs verification,,2 profile quotes marked (verified),https://siya.health/providers/dr-natasha-desai,,
"Dr. Swati Pandey, MD",license type per state,Required before publishing,Provider/Admin,Missing,,PA,,,
"Dr. Swati Pandey, MD",license verification source,Required before publishing,Provider/Admin,Missing,,Public state medical board profile URL,,,
"Dr. Swati Pandey, MD",accepting patients per state,Required before publishing,Provider/Admin,Missing,,Yes/No for PA,,,
"Dr. Swati Pandey, MD",medical school,Required before publishing,Provider/Admin,Missing,,,,,
"Dr. Swati Pandey, MD",residency,Required before publishing,Provider/Admin,Missing,,Specialty + institution,,,
"Dr. Swati Pandey, MD",board certifications,Required before physician-reviewed content linkage,Provider/Admin,Needs verification,,On profile: Psychiatric & Mental Health Physician; ADHD-CCSP,https://siya.health/providers/dr-swati-pandey,,
"Dr. Swati Pandey, MD",credential status,Required before physician-reviewed content linkage,Provider/Admin,Needs verification,,Current: practice records only; per-state docs pending,,,
"Dr. Swati Pandey, MD",fellowship,Nice to have,Provider,Missing,,,,,
"Dr. Swati Pandey, MD",professional memberships,Nice to have,Provider,Missing,,,,,
"Dr. Swati Pandey, MD",languages spoken,Nice to have,Provider,Missing,,,,,
"Dr. Swati Pandey, MD",reviewedContent,Required before physician-reviewed content linkage,Provider,Missing,,URL + title per reviewed piece,,,
"Dr. Swati Pandey, MD",authoredContent,Nice to have,Provider,Missing,,Only if physician authored,,,
"Dr. Swati Pandey, MD",NPI,Nice to have,Provider,Missing,,,,,
"Dr. Swati Pandey, MD",external profiles (sameAs),Nice to have,Provider,Missing,,LinkedIn Doximity Healthgrades etc,,,
"Dr. Swati Pandey, MD",Claim: verified testimonial attributions,Claims requiring proof,Admin,Needs verification,,2 profile quotes marked (verified),https://siya.health/providers/dr-swati-pandey,,
