Provider,Field,Priority,QuestionToAsk,ExampleAnswer,Owner,Status
"Dr. Sneh Pandey, MD","license type per state","Required before adding provider #4","Please provide license type per state for Dr. Sneh Pandey, MD.","","Provider/Admin","Missing"
"Dr. Sneh Pandey, MD","license verification source","Required before publishing","Please provide license verification source for Dr. Sneh Pandey, MD.","","Provider/Admin","Missing"
"Dr. Sneh Pandey, MD","accepting patients per state","Required before adding provider #4","Please provide accepting patients per state for Dr. Sneh Pandey, MD.","","Provider/Admin","Missing"
"Dr. Sneh Pandey, MD","medical school","Required before publishing","Please provide medical school for Dr. Sneh Pandey, MD.","","Provider/Admin","Missing"
"Dr. Sneh Pandey, MD","residency","Required before publishing","Please provide residency for Dr. Sneh Pandey, MD.","","Provider/Admin","Missing"
"Dr. Sneh Pandey, MD","fellowship","Nice to have","Please provide fellowship for Dr. Sneh Pandey, MD.","","Provider/Admin","Missing"
"Dr. Sneh Pandey, MD","professional memberships","Nice to have","Please provide professional memberships for Dr. Sneh Pandey, MD.","","Provider/Admin","Missing"
"Dr. Sneh Pandey, MD","languages spoken","Nice to have","Please provide languages spoken for Dr. Sneh Pandey, MD.","","Provider/Admin","Missing"
"Dr. Sneh Pandey, MD","reviewedContent","Nice to have","Please provide reviewedContent for Dr. Sneh Pandey, MD.","","Provider/Admin","Missing"
"Dr. Sneh Pandey, MD","authoredContent","Nice to have","Please provide authoredContent for Dr. Sneh Pandey, MD.","","Provider/Admin","Missing"
"Dr. Sneh Pandey, MD","NPI","Nice to have","Please provide NPI for Dr. Sneh Pandey, MD.","","Provider/Admin","Missing"
"Dr. Sneh Pandey, MD","external profiles (sameAs)","Nice to have","Please provide external profiles (sameAs) for Dr. Sneh Pandey, MD.","","Provider/Admin","Missing"
"Dr. Sneh Pandey, MD","Claim: verified testimonial attributions","Verification needed","Provide source documentation for: verified testimonial attributions","","Admin","Needs verification"
"Dr. Vanessa Urbina, MD","license type per state","Required before adding provider #4","Please provide license type per state for Dr. Vanessa Urbina, MD.","","Provider/Admin","Missing"
"Dr. Vanessa Urbina, MD","license verification source","Required before publishing","Please provide license verification source for Dr. Vanessa Urbina, MD.","","Provider/Admin","Missing"
"Dr. Vanessa Urbina, MD","accepting patients per state","Required before adding provider #4","Please provide accepting patients per state for Dr. Vanessa Urbina, MD.","","Provider/Admin","Missing"
"Dr. Vanessa Urbina, MD","medical school","Required before adding provider #4","Please provide medical school for Dr. Vanessa Urbina, MD.","","Provider/Admin","Missing"
"Dr. Vanessa Urbina, MD","residency","Required before adding provider #4","Please provide residency for Dr. Vanessa Urbina, MD.","","Provider/Admin","Missing"
"Dr. Vanessa Urbina, MD","fellowship","Nice to have","Please provide fellowship for Dr. Vanessa Urbina, MD.","","Provider/Admin","Missing"
"Dr. Vanessa Urbina, MD","professional memberships","Nice to have","Please provide professional memberships for Dr. Vanessa Urbina, MD.","","Provider/Admin","Missing"
"Dr. Vanessa Urbina, MD","languages spoken","Nice to have","Please provide languages spoken for Dr. Vanessa Urbina, MD.","","Provider/Admin","Missing"
"Dr. Vanessa Urbina, MD","reviewedContent","Nice to have","Please provide reviewedContent for Dr. Vanessa Urbina, MD.","","Provider/Admin","Missing"
"Dr. Vanessa Urbina, MD","authoredContent","Nice to have","Please provide authoredContent for Dr. Vanessa Urbina, MD.","","Provider/Admin","Missing"
"Dr. Vanessa Urbina, MD","NPI","Nice to have","Please provide NPI for Dr. Vanessa Urbina, MD.","","Provider/Admin","Missing"
"Dr. Vanessa Urbina, MD","external profiles (sameAs)","Nice to have","Please provide external profiles (sameAs) for Dr. Vanessa Urbina, MD.","","Provider/Admin","Missing"
"Dr. Natasha Desai, MD","license type per state","Required before adding provider #4","Please provide license type per state for Dr. Natasha Desai, MD.","","Provider/Admin","Missing"
"Dr. Natasha Desai, MD","license verification source","Required before publishing","Please provide license verification source for Dr. Natasha Desai, MD.","","Provider/Admin","Missing"
"Dr. Natasha Desai, MD","accepting patients per state","Required before adding provider #4","Please provide accepting patients per state for Dr. Natasha Desai, MD.","","Provider/Admin","Missing"
"Dr. Natasha Desai, MD","medical school","Required before publishing","Please provide medical school for Dr. Natasha Desai, MD.","","Provider/Admin","Missing"
"Dr. Natasha Desai, MD","residency","Required before publishing","Please provide residency for Dr. Natasha Desai, MD.","","Provider/Admin","Missing"
"Dr. Natasha Desai, MD","fellowship","Nice to have","Please provide fellowship for Dr. Natasha Desai, MD.","","Provider/Admin","Missing"
"Dr. Natasha Desai, MD","professional memberships","Nice to have","Please provide professional memberships for Dr. Natasha Desai, MD.","","Provider/Admin","Missing"
"Dr. Natasha Desai, MD","languages spoken","Nice to have","Please provide languages spoken for Dr. Natasha Desai, MD.","","Provider/Admin","Missing"
"Dr. Natasha Desai, MD","reviewedContent","Nice to have","Please provide reviewedContent for Dr. Natasha Desai, MD.","","Provider/Admin","Missing"
"Dr. Natasha Desai, MD","authoredContent","Nice to have","Please provide authoredContent for Dr. Natasha Desai, MD.","","Provider/Admin","Missing"
"Dr. Natasha Desai, MD","NPI","Nice to have","Please provide NPI for Dr. Natasha Desai, MD.","","Provider/Admin","Missing"
"Dr. Natasha Desai, MD","external profiles (sameAs)","Nice to have","Please provide external profiles (sameAs) for Dr. Natasha Desai, MD.","","Provider/Admin","Missing"
"Dr. Natasha Desai, MD","Claim: verified testimonial attributions","Verification needed","Provide source documentation for: verified testimonial attributions","","Admin","Needs verification"
"Dr. Swati Pandey, MD","license type per state","Required before adding provider #4","Please provide license type per state for Dr. Swati Pandey, MD.","","Provider/Admin","Missing"
"Dr. Swati Pandey, MD","license verification source","Required before publishing","Please provide license verification source for Dr. Swati Pandey, MD.","","Provider/Admin","Missing"
"Dr. Swati Pandey, MD","accepting patients per state","Required before adding provider #4","Please provide accepting patients per state for Dr. Swati Pandey, MD.","","Provider/Admin","Missing"
"Dr. Swati Pandey, MD","medical school","Required before publishing","Please provide medical school for Dr. Swati Pandey, MD.","","Provider/Admin","Missing"
"Dr. Swati Pandey, MD","residency","Required before publishing","Please provide residency for Dr. Swati Pandey, MD.","","Provider/Admin","Missing"
"Dr. Swati Pandey, MD","fellowship","Nice to have","Please provide fellowship for Dr. Swati Pandey, MD.","","Provider/Admin","Missing"
"Dr. Swati Pandey, MD","professional memberships","Nice to have","Please provide professional memberships for Dr. Swati Pandey, MD.","","Provider/Admin","Missing"
"Dr. Swati Pandey, MD","languages spoken","Nice to have","Please provide languages spoken for Dr. Swati Pandey, MD.","","Provider/Admin","Missing"
"Dr. Swati Pandey, MD","reviewedContent","Nice to have","Please provide reviewedContent for Dr. Swati Pandey, MD.","","Provider/Admin","Missing"
"Dr. Swati Pandey, MD","authoredContent","Nice to have","Please provide authoredContent for Dr. Swati Pandey, MD.","","Provider/Admin","Missing"
"Dr. Swati Pandey, MD","NPI","Nice to have","Please provide NPI for Dr. Swati Pandey, MD.","","Provider/Admin","Missing"
"Dr. Swati Pandey, MD","external profiles (sameAs)","Nice to have","Please provide external profiles (sameAs) for Dr. Swati Pandey, MD.","","Provider/Admin","Missing"
"Dr. Swati Pandey, MD","Claim: verified testimonial attributions","Verification needed","Provide source documentation for: verified testimonial attributions","","Admin","Needs verification"
"Megan Wunderlich, FNP-C","license type per state","Required before adding provider #4","Please provide license type per state for Megan Wunderlich, FNP-C.","","Provider/Admin","Missing"
"Megan Wunderlich, FNP-C","license verification source","Required before publishing","Please provide license verification source for Megan Wunderlich, FNP-C.","","Provider/Admin","Missing"
"Megan Wunderlich, FNP-C","accepting patients per state","Required before adding provider #4","Please provide accepting patients per state for Megan Wunderlich, FNP-C.","","Provider/Admin","Missing"
"Megan Wunderlich, FNP-C","medical school","Required before adding provider #4","Please provide medical school for Megan Wunderlich, FNP-C.","","Provider/Admin","Missing"
"Megan Wunderlich, FNP-C","residency","Required before publishing","Please provide residency for Megan Wunderlich, FNP-C.","","Provider/Admin","Missing"
"Megan Wunderlich, FNP-C","fellowship","Nice to have","Please provide fellowship for Megan Wunderlich, FNP-C.","","Provider/Admin","Missing"
