Provider,Field,PublicValue,Status,Priority,ReadinessImpact,SourceURL,Notes
"Megan Wunderlich, NP",name,Megan Wunderlich,Verified from public source,Nice to have,High,https://www.helloklarity.com/provider/megan-wunderlich,
"Megan Wunderlich, NP",credentials,"MSN, APRN, FNP-C",Verified from public source,Required before publishing,High,https://www.helloklarity.com/provider/megan-wunderlich,
"Megan Wunderlich, NP",role/type,"FNP; Mental Health, Family Medicine",Verified from public source,Required before publishing,High,https://www.helloklarity.com/provider/megan-wunderlich,External role only — Siya title missing
"Megan Wunderlich, NP",states mentioned,Pennsylvania,Verified from public source,Required before publishing,High,https://www.helloklarity.com/provider/megan-wunderlich,Do not infer other states
"Megan Wunderlich, NP",license type per state,—,Not found,Required before publishing,High,,
"Megan Wunderlich, NP",license verification source,—,Not found,Required before publishing,High,,PA board profile URL required
"Megan Wunderlich, NP",license status,—,Not found,Required before publishing,Medium,,
"Megan Wunderlich, NP",license expiration,—,Not found,Required before publishing,Medium,,
"Megan Wunderlich, NP",accepting new patients,Yes,Verified from public source,Required before publishing,High,https://www.helloklarity.com/provider/megan-wunderlich,Klarity only — confirm for Siya
"Megan Wunderlich, NP",education school,"Duquesne BSN; Chatham MSN; Carlow PMC-FNP",Verified from public source,Required before publishing,High,https://www.helloklarity.com/provider/megan-wunderlich,
"Megan Wunderlich, NP",residency,—,Not found,Required before publishing,Low,,NP — confirm training equivalent if required
"Megan Wunderlich, NP",board certifications,FNP-C,Verified from public source,Required before publishing,Medium,https://www.helloklarity.com/provider/megan-wunderlich,Primary verification link missing
"Megan Wunderlich, NP",ADHD-CCSP or equivalent,—,Not found,Required before publishing,High,,Needed if linked to ADHD content
"Megan Wunderlich, NP",clinical focus,"Mental Health, Family Medicine, ADHD",Verified from public source,Required before publishing,High,https://www.helloklarity.com/provider/megan-wunderlich,
"Megan Wunderlich, NP",services,Telehealth mental health/family medicine,Verified from public source,Required before publishing,High,https://www.helloklarity.com/provider/megan-wunderlich,Map to Siya service pages
"Megan Wunderlich, NP",bio,Klarity About Megan,Verified from public source,Required before publishing,High,https://www.helloklarity.com/provider/megan-wunderlich,Needs provider approval for Siya
"Megan Wunderlich, NP",care philosophy,Patient-centered / evidence-based,Verified from public source,Required before publishing,Medium,https://www.helloklarity.com/provider/megan-wunderlich,
"Megan Wunderlich, NP",headshot URL,—,Not found,Required before publishing,High,,
"Megan Wunderlich, NP",headshot publication consent,—,Not found,Required before publishing,High,,
"Megan Wunderlich, NP",NPI,1629930532,Verified from public source,Nice to have,Medium,https://www.helloklarity.com/provider/megan-wunderlich,
"Megan Wunderlich, NP",external profiles,Klarity profile,Verified from public source,Nice to have,Low,https://www.helloklarity.com/provider/megan-wunderlich,
"Megan Wunderlich, NP",organization affiliations,VA Pittsburgh Healthcare System,Verified from public source,Nice to have,Medium,https://www.helloklarity.com/provider/megan-wunderlich,
"Megan Wunderlich, NP",Siya role/title,—,Not found,Required before publishing,High,,
"Megan Wunderlich, NP",credential verification admin,—,Not found,Required before publishing,High,,
"Megan Wunderlich, NP",reviewer consent,—,Not found,Required before physician-reviewed content linkage,High,,
"Megan Wunderlich, NP",reviewedContent,—,Not found,Required before physician-reviewed content linkage,High,,
"Megan Wunderlich, NP",comphealthforyou.com profile,—,Not found,Nice to have,Low,https://www.comphealthforyou.com/,Listed source — no Megan content found
"Megan Wunderlich, NP",readiness score,46,Mentioned but needs confirmation,Summary,High,,See FUTURE-PROVIDER-ENRICHMENT-AUDIT.md
"Megan Wunderlich, NP",ready for Siya profile,No,Verified from public source,Summary,High,,
"Megan Wunderlich, NP",ready for reviewedBy,No,Verified from public source,Summary,High,,
"Megan Wunderlich, NP",ready for schema,Partial,Mentioned but needs confirmation,Summary,Medium,,
"Megan Wunderlich, NP",recommended tier,Tier 2 — core clinician,Mentioned but needs confirmation,Summary,Medium,,
"Megan Wunderlich, NP",recommended service pages,"/adhd-care; /telehealth",Mentioned but needs confirmation,Summary,Medium,,PA-only caveat
"Vanessa Urbina, MD",name,Vanessa Urbina MD,Verified from public source,Nice to have,High,https://www.comphealthforyou.com/about-dr-vanessa-urbina,
"Vanessa Urbina, MD",credentials,MD,Verified from public source,Required before publishing,High,https://www.comphealthforyou.com/about-dr-vanessa-urbina,
"Vanessa Urbina, MD",role/type,Founder & Medical Director Comprehensive Health,Verified from public source,Required before publishing,High,https://www.comphealthforyou.com/,
"Vanessa Urbina, MD",states mentioned,Florida,Verified from public source,Required before publishing,High,https://www.comphealthforyou.com/about-dr-vanessa-urbina,Mount Dora / Sanford FL
"Vanessa Urbina, MD",license type per state,—,Not found,Required before publishing,High,,
"Vanessa Urbina, MD",license verification source,—,Not found,Required before publishing,High,,FL DOH profile URL required
"Vanessa Urbina, MD",license status,FL State Medical License (label only),Mentioned but needs confirmation,Required before publishing,High,https://www.comphealthforyou.com/about-dr-vanessa-urbina,No number or URL
"Vanessa Urbina, MD",license expiration,—,Not found,Required before publishing,Medium,,
"Vanessa Urbina, MD",accepting new patients,—,Not found,Required before publishing,High,,
"Vanessa Urbina, MD",education school,University of Miami (2007); FAU bachelor's (2003),Verified from public source,Required before publishing,High,https://www.comphealthforyou.com/about-dr-vanessa-urbina,
"Vanessa Urbina, MD",residency,Brookwood Baptist Health; general surgery Baptist Princeton,Mentioned but needs confirmation,Required before publishing,Medium,https://www.comphealthforyou.com/about-dr-vanessa-urbina,Timeline/specialty unclear
"Vanessa Urbina, MD",board certifications,—,Not found,Required before publishing,High,,Not listed on practice site
"Vanessa Urbina, MD",ADHD-CCSP or equivalent,—,Not found,Required before publishing,High,,ADHD services listed on site
"Vanessa Urbina, MD",clinical focus,"Family medicine, DPC, ADHD, obesity, lifestyle",Verified from public source,Required before publishing,High,https://www.comphealthforyou.com/general-primary-care,
