Insight ID,Title,Video prompt path,Paired carousel,Status
AD-C-01,"# AD-C-01",07-Video-Prompts/AD-C-01-video-prompt.md,05-Carousels/AD-C-01/,Draft
ADHD-2026-07-21-iron-fog,"ADHD fog × low iron — ferritin not hemoglobin alone",07-Video-Prompts/ADHD-2026-07-21-iron-fog-video-prompt.md,05-Carousels/ADHD-2026-07-21-iron-fog/,Ready to produce (carousel visuals exist)
ADHD-2026-07-21-longterm-meds,"Is ADHD medication safe long-term?",07-Video-Prompts/ADHD-2026-07-21-longterm-meds-video-prompt.md,05-Carousels/ADHD-2026-07-21-longterm-meds/,Draft
ADHD-2026-07-21-nonstimulant,"Non-stimulant ADHD meds — when they make sense",07-Video-Prompts/ADHD-2026-07-21-nonstimulant-video-prompt.md,05-Carousels/ADHD-2026-07-21-nonstimulant/,Draft
ADHD-2026-07-21-not-lazy,"You're not lazy — overlooked adult ADHD",07-Video-Prompts/ADHD-2026-07-21-not-lazy-video-prompt.md,05-Carousels/ADHD-2026-07-21-not-lazy/,Ready to produce (carousel visuals exist)
ADHD-2026-07-21-online-legit,"Is online ADHD diagnosis legit?",07-Video-Prompts/ADHD-2026-07-21-online-legit-video-prompt.md,05-Carousels/ADHD-2026-07-21-online-legit/,Draft
ADHD-2026-07-21-women-missed,"Women: ADHD often missed as anxiety or BPD-like labels",07-Video-Prompts/ADHD-2026-07-21-women-missed-video-prompt.md,05-Carousels/ADHD-2026-07-21-women-missed/,Ready to produce (carousel visuals exist)
ADHD-2026-07-22-hiding-cope,"ADHD-2026-07-22-hiding-cope",07-Video-Prompts/ADHD-2026-07-22-hiding-cope-video-prompt.md,05-Carousels/ADHD-2026-07-22-hiding-cope/,Ready to produce (carousel visuals exist)
ADHD-2026-07-25-covid-rebuild,"ADHD-2026-07-25-covid-rebuild (Part 2/2)",07-Video-Prompts/ADHD-2026-07-25-covid-rebuild-video-prompt.md,05-Carousels/ADHD-2026-07-25-covid-rebuild/,Ready to produce (carousel visuals exist)
ADHD-2026-07-25-covid-scaffolding,"ADHD-2026-07-25-covid-scaffolding (Part 1/2)",07-Video-Prompts/ADHD-2026-07-25-covid-scaffolding-video-prompt.md,05-Carousels/ADHD-2026-07-25-covid-scaffolding/,Ready to produce (carousel visuals exist)
DERM-2026-07-21-minoxidil,"Minoxidil does it work",07-Video-Prompts/DERM-2026-07-21-minoxidil-video-prompt.md,05-Carousels/DERM-2026-07-21-minoxidil/,Draft
FEMALE-2026-07-20-midlife-coping,"FEMALE-2026-07-20-midlife-coping (v2 — useful)",07-Video-Prompts/FEMALE-2026-07-20-midlife-coping-video-prompt.md,05-Carousels/FEMALE-2026-07-20-midlife-coping/,Has prior reel notes
HAIR-2026-07-23-minoxidil-shed,"# Carousel — HAIR-2026-07-23-minoxidil-shed",07-Video-Prompts/HAIR-2026-07-23-minoxidil-shed-video-prompt.md,05-Carousels/HAIR-2026-07-23-minoxidil-shed/,Draft
LONGEVITY-2026-07-21-peptides,"Glutathione & peptides what’s real",07-Video-Prompts/LONGEVITY-2026-07-21-peptides-video-prompt.md,05-Carousels/LONGEVITY-2026-07-21-peptides/,Draft
LONGEVITY-2026-07-24-bpc157-before-you-buy,"LONGEVITY-2026-07-24-bpc157-before-you-buy (Part 2/2)",07-Video-Prompts/LONGEVITY-2026-07-24-bpc157-before-you-buy-video-prompt.md,05-Carousels/LONGEVITY-2026-07-24-bpc157-before-you-buy/,Ready to produce (carousel visuals exist)
LONGEVITY-2026-07-24-bpc157-hope-vs-proof,"LONGEVITY-2026-07-24-bpc157-hope-vs-proof (Part 1/2)",07-Video-Prompts/LONGEVITY-2026-07-24-bpc157-hope-vs-proof-video-prompt.md,05-Carousels/LONGEVITY-2026-07-24-bpc157-hope-vs-proof/,Ready to produce (carousel visuals exist)
MALE-2026-07-21-ed-sildenafil,"Sildenafil what to expect",07-Video-Prompts/MALE-2026-07-21-ed-sildenafil-video-prompt.md,05-Carousels/MALE-2026-07-21-ed-sildenafil/,Draft
MALE-2026-07-21-trt-habits,"Five fundamentals if you’re on TRT",07-Video-Prompts/MALE-2026-07-21-trt-habits-video-prompt.md,05-Carousels/MALE-2026-07-21-trt-habits/,Ready to produce (carousel visuals exist)
MALE-2026-07-21-trt-when,"When is testosterone therapy appropriate?",07-Video-Prompts/MALE-2026-07-21-trt-when-video-prompt.md,05-Carousels/MALE-2026-07-21-trt-when/,Ready to produce (carousel visuals exist)
OBESITY-2026-07-21-compounded-glp1,"Compounded vs branded GLP-1",07-Video-Prompts/OBESITY-2026-07-21-compounded-glp1-video-prompt.md,05-Carousels/OBESITY-2026-07-21-compounded-glp1/,Draft
OBESITY-2026-07-21-food-noise,"Mental health & weight loss / food noise",07-Video-Prompts/OBESITY-2026-07-21-food-noise-video-prompt.md,05-Carousels/OBESITY-2026-07-21-food-noise/,Draft
OBESITY-2026-07-21-glp1-sides,"GLP-1 side effects — what to do",07-Video-Prompts/OBESITY-2026-07-21-glp1-sides-video-prompt.md,05-Carousels/OBESITY-2026-07-21-glp1-sides/,Ready to produce (carousel visuals exist)
OBESITY-2026-07-21-phentermine,"Phentermine safety",07-Video-Prompts/OBESITY-2026-07-21-phentermine-video-prompt.md,05-Carousels/OBESITY-2026-07-21-phentermine/,Ready to produce (carousel visuals exist)
OBESITY-2026-07-21-semaglutide,"How semaglutide actually works",07-Video-Prompts/OBESITY-2026-07-21-semaglutide-video-prompt.md,05-Carousels/OBESITY-2026-07-21-semaglutide/,Ready to produce (carousel visuals exist)
OBESITY-2026-07-21-tirzepatide,"Tirzepatide vs semaglutide",07-Video-Prompts/OBESITY-2026-07-21-tirzepatide-video-prompt.md,05-Carousels/OBESITY-2026-07-21-tirzepatide/,Draft
OBESITY-2026-07-21-vs-dieting,"Medical weight loss vs dieting",07-Video-Prompts/OBESITY-2026-07-21-vs-dieting-video-prompt.md,05-Carousels/OBESITY-2026-07-21-vs-dieting/,Draft
OBESITY-2026-07-24-retatrutide,"# OBESITY-2026-07-24-retatrutide",07-Video-Prompts/OBESITY-2026-07-24-retatrutide-video-prompt.md,05-Carousels/OBESITY-2026-07-24-retatrutide/,Draft
PCP-2026-07-21-safe-online-rx,"Safely get Rx online",07-Video-Prompts/PCP-2026-07-21-safe-online-rx-video-prompt.md,05-Carousels/PCP-2026-07-21-safe-online-rx/,Draft
PCP-2026-07-21-telehealth-rx,"How telehealth prescriptions work",07-Video-Prompts/PCP-2026-07-21-telehealth-rx-video-prompt.md,05-Carousels/PCP-2026-07-21-telehealth-rx/,Ready to produce (carousel visuals exist)
PE-C-01,"# PE-C-01",07-Video-Prompts/PE-C-01-video-prompt.md,05-Carousels/PE-C-01/,Draft
