Insight ID,Title / Hook,Format,Channel,Status,Practical change (required),Knowledge Product,Spoke URL,Folder path,Created,Ready date,Published date,Owner,Approver,Link / URL live,Notes
WH-R-02,Coping strategies that worked for 20 years… suddenly don’t,Carousel,Instagram,Ready,"14-day log (sleep / bleeding / fog) → ask clinician: iron/ferritin, thyroid, sleep, mood",Women's Midlife Health,https://siya.health/blog/perimenopause-brain-fog,05-Carousels/WH-R-02/ready-to-post,2026-07-20,2026-07-21,,Dr. Sneh / Editorial,Pending clinical stamp (organic OK),,v2 useful arc; submerged logo design
WH-R-02,WH-R-02 Reel (Ken Burns from carousel),Reel / Video,Instagram,Ready,Same as carousel — caption restates 14-day log + clinician ask,Women's Midlife Health,https://siya.health/womens-midlife-health,05-Carousels/WH-R-02/video,2026-07-20,2026-07-20,,Editorial,,,No audio — add music in IG
WH-R-02,Founder LinkedIn Draft A (no CTA),Text post,LinkedIn Founder,Ready,N/A — founder channel may stop at open question (no CTA),Women's Midlife Health,,05-Carousels/WH-R-02/copy/linkedin-founder.md,2026-07-20,2026-07-20,,Dr. Sneh,,,Protected channel — never sells
WH-R-02,Company LinkedIn / social adaptations,Text post,LinkedIn Company,Ready,14-day log → clinician ask (iron/thyroid/sleep/mood),Women's Midlife Health,https://siya.health/womens-midlife-health,05-Carousels/WH-R-02/copy,2026-07-20,2026-07-20,,Editorial,,,
BRAND,Dr. Sneh LinkedIn banner — Recognition before expertise,Static,LinkedIn Founder,Ready,N/A — profile backdrop,Brand,,06-Statics/LinkedIn-Dr-Sneh,2026-07-21,2026-07-21,,Dr. Sneh,,,Use @2x upload
BRAND,Dr. Sneh LinkedIn banner — Systems medicine explained simply,Static,LinkedIn Founder,Ready,N/A — profile backdrop (alternate),Brand,,06-Statics/LinkedIn-Dr-Sneh,2026-07-21,2026-07-21,,Dr. Sneh,,,Alternate to Recognition version
MH-L-01,On TRT? These 5 habits decide how much you get out of it,Carousel,Instagram,Ready,Lift 2–4×/wk · protein each meal · 7+ hrs sleep · check vitamin D · keep follow-up labs,Men's Performance & Hormonal Health,https://siya.health/blog/when-is-testosterone-therapy-appropriate,05-Carousels/MH-L-01/ready-to-post,2026-07-21,2026-07-21,,Editorial,Pending clinical stamp (organic OK),,Lifestyle foundations alongside medical TRT
AD-I-01,ADHD fog… or low iron? They can look alike — and stack,Carousel,Instagram,Ready,Ask clinician for ferritin/iron studies before DIY iron or “just ADHD”,Brain Health & ADHD,https://siya.health/blog/perimenopause-brain-fog,05-Carousels/AD-I-01/ready-to-post,2026-07-21,2026-07-21,,Editorial,Organic OK · clinical stamp preferred for paid,,Claim: iron doesn’t cause ADHD; measure ferritin vs Hb alone
AD-S-01,You’re not lazy — overlooked adult ADHD signs,Carousel,Instagram,Copy ready,Take validated ADHD screener; book evaluation if lifelong pattern,Brain Health & ADHD,https://siya.health/blog/youre-not-lazy-signs-undiagnosed-adult-adhd,05-Carousels/AD-S-01,2026-07-21,,,Editorial,Pending clinical stamp (organic OK),,Batch 20; captions complete; slides TBD
AD-W-01,Anxiety… BPD… or ADHD? Women’s ADHD often missed,Carousel,Instagram,Copy ready,Ask about ADHD history when mood labels don’t fit; don’t self-diagnose BPD vs ADHD,Brain Health & ADHD,https://siya.health/blog/adhd-hormones-women,05-Carousels/AD-W-01,2026-07-21,,,Editorial,Pending clinical stamp (organic OK),,Batch 20; also siya.health/adhd-care
AD-M-01,Non-stimulant ADHD meds — when they make sense,Carousel,Instagram,Copy ready,Bring side-effect/substance/anxiety history to discuss non-stimulant options,Brain Health & ADHD,https://siya.health/blog/non-stimulant-adhd-medications-explained,05-Carousels/AD-M-01,2026-07-21,,,Editorial,Prefer clinical stamp,,Batch 20; no DIY dosing
AD-L-01,Is ADHD medication safe long-term?,Carousel,Instagram,Copy ready,"Schedule monitoring (BP, weight, sleep, mood); don’t stop abruptly without plan",Brain Health & ADHD,https://siya.health/blog/is-adhd-medication-safe-long-term,05-Carousels/AD-L-01,2026-07-21,,,Editorial,Prefer clinical stamp,,Batch 20
AD-O-01,Is online ADHD diagnosis legit?,Carousel,Instagram,Copy ready,"Checklist: licensed clinician, history, validated tools, follow-up — not quiz-only",Brain Health & ADHD,https://siya.health/blog/is-online-adhd-diagnosis-legit,05-Carousels/AD-O-01,2026-07-21,,,Editorial,Organic OK,,Batch 20
WL-G-01,How semaglutide actually works,Carousel,Instagram,Copy ready,Ask contraindications; protein + resistance training if starting GLP-1,Metabolic Health & Weight Loss,https://siya.health/blog/semaglutide-for-weight-loss-how-it-works,05-Carousels/WL-G-01,2026-07-21,,,Editorial,Prefer clinical stamp,,Batch 20
WL-T-01,Tirzepatide vs semaglutide — compare fit not TikTok rank,Carousel,Instagram,Copy ready,"Compare goals/tolerability with clinician, not viral winner",Metabolic Health & Weight Loss,https://siya.health/blog/tirzepatide-vs-semaglutide-which-is-better,05-Carousels/WL-T-01,2026-07-21,,,Editorial,Prefer clinical stamp,,Batch 20
WL-S-01,GLP-1 side effects — what helps,Carousel,Instagram,Copy ready,Smaller meals; slower titration talk; call for severe symptoms,Metabolic Health & Weight Loss,https://siya.health/blog/glp1-side-effects-and-how-to-manage-them,05-Carousels/WL-S-01,2026-07-21,,,Editorial,Prefer clinical stamp,,Batch 20; no DIY dosing
WL-C-01,Compounded vs branded GLP-1,Carousel,Instagram,Copy ready,"Ask pharmacy/source, FDA status, what you’re actually receiving",Metabolic Health & Weight Loss,https://siya.health/blog/compounded-vs-branded-glp1-medications,05-Carousels/WL-C-01,2026-07-21,,,Editorial,Prefer clinical stamp,,Batch 20
WL-F-01,"Food noise, mental health & weight loss",Carousel,Instagram,Copy ready,Name food noise; ask if ADHD/mood need concurrent care,Metabolic Health · Brain Health,https://siya.health/blog/how-mental-health-affects-weight-loss-outcomes,05-Carousels/WL-F-01,2026-07-21,,,Editorial,Organic OK,,Batch 20
WL-D-01,Medical weight loss vs dieting,Carousel,Instagram,Copy ready,"If yo-yo cycles, ask medical evaluation — not another crash diet",Metabolic Health & Weight Loss,https://siya.health/blog/medical-weight-loss-vs-dieting-what-actually-works,05-Carousels/WL-D-01,2026-07-21,,,Editorial,Organic OK,,Batch 20
