Old URL,New URL,Redirect Type,Reason,Internal Links Updated,Sitemap Updated
/terms,/legal/terms-of-use,301,legal consolidation,yes (phase7 link remediation validates),yes (sources excluded)
/privacy-policy,/legal/privacy-policy,301,legal consolidation,yes (phase7 link remediation validates),yes (sources excluded)
/membership-pricing,/pricing,301,pricing rename,yes (phase7 link remediation validates),yes (sources excluded)
/mental-health-adhd,/adhd-care,301,ADHD funnel consolidation,yes (phase7 link remediation validates),yes (sources excluded)
/online-adhd-test,/adhd-screening,301,duplicate screener URL,yes (phase7 link remediation validates),yes (sources excluded)
/adult-adhd-diagnosis,/adhd-care,301,ADHD funnel consolidation,yes (phase7 link remediation validates),yes (sources excluded)
/adhd-treatment-online,/adhd-care,301,ADHD funnel consolidation,yes (phase7 link remediation validates),yes (sources excluded)
/adhd-evaluation-cost,/pricing,301,cost intent → pricing,yes (phase7 link remediation validates),yes (sources excluded)
/adhd-diagnosis-florida,/adhd-care,301,ADHD funnel consolidation,yes (phase7 link remediation validates),yes (sources excluded)
/blog/all,/blog,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/blog/ambien-and-sleep-medications-risks-and-benefits,/blog/insomnia-treatment-options-beyond-medication,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/blog/glutathione-and-peptides-what-do-they-actually-do,/mens-health-longevity,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/blog/modafinil-for-focus-and-fatigue-is-it-safe,/adhd-care,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/answers/adhd-in-men,/answers/signs-of-adult-adhd,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/answers/creyos-adhd-testing-explained,/creyos-adhd-testing,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/blog/adhd-evaluation-cost-california,/blog/adhd-evaluation-cost-texas,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/blog/after-adhd-diagnosis-next-steps-adults,/answers/starting-adhd-medication-adults,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/answers/phentermine-weight-loss-safety,/blog/phentermine-for-weight-loss-safety-and-effectiveness,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/answers/oral-vs-injectable-weight-loss-meds,/blog/oral-vs-injectable-weight-loss-medications,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/answers/non-stimulant-adhd-medications,/blog/non-stimulant-adhd-medications-explained,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/answers/tirzepatide-vs-semaglutide,/blog/tirzepatide-vs-semaglutide-which-is-better,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/answers/minoxidil-hair-loss-does-it-work,/blog/minoxidil-for-hair-loss-does-it-work,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/answers/sildenafil-erectile-dysfunction-expectations,/blog/sildenafil-for-erectile-dysfunction-what-to-expect,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/blog/combining-adhd-treatment-and-weight-loss-strategies,/answers/adhd-and-weight-loss-connection,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
/blog/focalin-vs-adderall-comparison,/blog/vyvanse-vs-adderall-differences,301,content consolidation phase 1 / cannibalization,yes (phase7 link remediation validates),yes (sources excluded)
