URL,Page Type,Audience,Purpose,Primary Keyword,Index Status,Sitemap Status,Primary CTA,Internal Links,Recommended Action,Reason
/,Homepage,General patients,"Siya Health | When Focus, Energy, or Weight Won't Budge",Something feels off—and you want clearer answers.,index,in sitemap,,169,Keep,Quality benchmark — frozen
/about,About,General patients,"About Siya Health | Mission, Team &amp; How Care Works",Care for adults who are done guessing about their health,index,in sitemap,,164,Standardize,Keep URL/SEO; align copy+structure to service blueprint
/adhd-care,Service Page,Adults with ADHD concerns,Adult ADHD Diagnosis Online — Same-Week Evaluation ($199) | Siya Health,Struggling to focus—even when you care?,index,in sitemap,,164,Keep,Quality benchmark — frozen
/adhd-diagnosis-austin,Geo SEO Landing,Adults with ADHD concerns,ADHD Diagnosis Austin TX | Online $199 Evaluation | Siya Health,"ADHD Diagnosis in Austin, Texas (Online, $199)",index,in sitemap,,11,Standardize,Keep URL/SEO; align copy+structure to service blueprint
/adhd-diagnosis-florida,Page,Adults with ADHD concerns,Online ADHD Diagnosis Florida | $199 Evaluation | Siya Health,,noindex,not in sitemap,,,Redirect,Legacy shell; 301 → /adhd-care already live in vercel.json
/adhd-diagnosis-houston,Geo SEO Landing,Adults with ADHD concerns,ADHD Diagnosis Houston TX | Online $199 Evaluation | Siya Health,"ADHD Diagnosis in Houston, Texas (Online, $199)",index,in sitemap,,10,Standardize,Keep URL/SEO; align copy+structure to service blueprint
/adhd-diagnosis-pennsylvania,Geo SEO Landing,Adults with ADHD concerns,Online ADHD Diagnosis Pennsylvania | $199 | Siya Health,Online ADHD Diagnosis in Pennsylvania ($199 Evaluation),index,in sitemap,,8,Standardize,Keep URL/SEO; align copy+structure to service blueprint
/adhd-diagnosis-philadelphia,Geo SEO Landing,Adults with ADHD concerns,ADHD Diagnosis Philadelphia PA | Online $199 | Siya Health,"ADHD Diagnosis in Philadelphia, Pennsylvania (Online, $199)",index,in sitemap,,8,Standardize,Keep URL/SEO; align copy+structure to service blueprint
/adhd-diagnosis-texas,Geo SEO Landing,Adults with ADHD concerns,Online ADHD Diagnosis Texas | $199 Evaluation | Siya Health,Online ADHD Diagnosis in Texas ($199 Evaluation),index,in sitemap,,14,Standardize,Keep URL/SEO; align copy+structure to service blueprint
/adhd-evaluation-cost,Page,Adults with ADHD concerns,ADHD Evaluation Cost Online | $199 Flat Rate | Siya Health,,noindex,not in sitemap,,,Redirect,Legacy shell; 301 → /pricing already live in vercel.json
/adhd-screening,Service Page,Adults with ADHD concerns,Start screening | Siya Health,What are you looking for help with?,index,in sitemap,,157,Keep,Meets keep criteria
/adhd-screening-results,Utility,Converting patients,ADHD Screening Complete | Siya Health,,noindex,not in sitemap,,,Noindex,"Utility/conversion page; keep noindex, out of sitemap"
/adhd-treatment-online,Page,Adults with ADHD concerns,"ADHD Treatment Online | Telehealth TX, PA, FL | Siya Health",,noindex,not in sitemap,,,Redirect,Legacy shell; 301 → /adhd-care already live in vercel.json
/adult-adhd-diagnosis,Page,Adults with ADHD concerns,Adult ADHD Diagnosis Online | $199 Evaluation | Siya Health,,noindex,not in sitemap,,,Redirect,Legacy shell; 301 → /adhd-care already live in vercel.json
/adult-adhd-screening-california,Page,Adults with ADHD concerns,Online ADHD Screening in California | Free 2-Minute Test | Siya Health,Online ADHD Screening in California,index,in sitemap,,3,Standardize,Keep URL/SEO; align copy+structure to service blueprint
/answers,Health Guide Hub,General patients,"Health Guides | Metabolic, ADHD, Hormones &amp; Telehealth | Siya Health",Health Guides,index,in sitemap,,164,Keep,SEO / educational; periodic review
/answers/adderall-vs-vyvanse-adults,Health Guide,General patients,When might Vyvanse be preferred over Adderall for adults? | Siya Health,When might Vyvanse be preferred over Adderall for adults?,index,in sitemap,,3,Merge,Cannibalization Duplicate — narrow to FAQ or 301 to preferred blog after GSC check
/answers/adhd-and-weight-loss-connection,Health Guide,Adults with ADHD concerns,Is there a connection between ADHD and weight loss struggles? | Siya Health,Is there a connection between ADHD and weight loss struggles?,index,in sitemap,,7,Keep,SEO / educational; periodic review
