URL,Section,Current Issue,Issue Type,Recommended Rewrite,Compliance Risk,SEO Risk,Priority,Status
/,CTA,Learn more,Vague CTA,Use specific label (Meet & Greet / Secure Chat / Screening),None,Low,P1,Open
/adhd-care,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/weight-loss-metabolic-health,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/mens-health-longevity,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/telehealth,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/womens-health,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/primary-urgent-care,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/labs,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/prescriptions,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/about,CTA,Explore Care Options,Vague CTA,Use specific label (Meet & Greet / Secure Chat / Screening),None,Low,P1,Open
/about,CTA,Explore Care / Explore Care Options,Deprecated CTA,Replace with Meet & Greet + Secure Chat hierarchy,None,Low,P1,Open
/pricing,CTA,Explore Care Options,Vague CTA,Use specific label (Meet & Greet / Secure Chat / Screening),None,Low,P1,Open
/pricing,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/pricing,CTA,Explore Care / Explore Care Options,Deprecated CTA,Replace with Meet & Greet + Secure Chat hierarchy,None,Low,P1,Open
/book-appointment,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/adhd-screening,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/adult-adhd-screening-california,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/creyos-adhd-testing,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/blog,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/answers,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/answers,CTA,Explore Care / Explore Care Options,Deprecated CTA,Replace with Meet & Greet + Secure Chat hierarchy,None,Low,P1,Open
/answers,Clinical language,Screening/diagnosis proximity without clear distinction,Terminology risk,Explicitly state screening is not a diagnosis,Med,Low,P1,Open
/adhd-diagnosis-austin,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/adhd-diagnosis-houston,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/adhd-diagnosis-texas,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/adhd-diagnosis-pennsylvania,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
/adhd-diagnosis-philadelphia,Pricing,Contains $199 initial-evaluation pricing,Outdated pricing,Update to $149 initial physician evaluation (source: site-standards),High,High,P1,Open
